PC6,number_of_charger,total_capacity
1063VD,1,22.0
1063XL,2,22.0
1063XR,1,11.0
1063XZ,1,22.0
1063ZM,1,22.0
1063ZZ,1,11.0
1064AM,1,11.0
1064BJ,1,22.0
1064BS,1,11.0
1064CC,1,22.0
1064CK,1,11.0
1064CT,1,11.0
1064DA,1,11.0
1064DC,1,11.0
1064DD,1,11.0
1064DE,1,11.0
1064DH,1,11.0
1064DL,1,22.0
1064EZ,1,11.0
1064GE,1,11.0
1064GV,1,11.0
1064HL,2,33.0
1064HM,3,55.0
1064HN,1,11.0
1064LD,1,22.0
1064LG,2,22.0
1064MH,1,11.0
1064ML,1,11.0
1064NC,1,11.0
1064NP,1,22.0
1064NX,1,11.0
1064ST,1,22.0
1064SZ,1,11.0
1064TD,1,11.0
1064WE,1,11.0
1064WJ,1,11.0
1064WR,1,22.0
1064WS,1,11.0
1064WZ,1,11.0
1064XD,1,11.0
1064ZH,1,11.0
1064ZJ,1,11.0
1065AL,1,22.0
1065AV,1,22.0
1065BP,1,11.0
1065BX,1,11.0
1065CJ,1,11.0
1065CK,1,22.0
1065CN,1,11.0
1065EA,1,22.0
1065EW,1,11.0
1065GG,1,22.0
1065HD,1,11.0
1065HH,1,11.0
1065JX,1,11.0
1065KB,1,11.0
1065KL,1,22.0
1065KT,1,11.0
1065KW,1,22.0
1065LB,1,11.0
1065LG,2,33.0
1065LH,2,22.0
1065MB,1,11.0
1065SN,1,11.0
1065SP,1,22.0
1065SX,1,11.0
1065VG,2,33.0
1065XS,1,22.0
1066AW,1,22.0
1066AZ,3,33.0
1066BD,1,22.0
1066CV,1,11.0
1066DG,1,11.0
1066DH,2,22.0
1066EJ,1,11.0
1066ER,1,11.0
1066EV,1,11.0
1066GS,1,11.0
1066HC,1,11.0
1066HS,1,22.0
1066HX,1,11.0
1066JD,1,11.0
1066JG,1,11.0
1066KB,1,11.0
1066LS,1,11.0
1066LT,1,11.0
1066LW,1,11.0
1066LX,1,11.0
1066LZ,1,11.0
1066MA,1,11.0
1066MD,1,22.0
1066ME,1,11.0
1066MK,1,22.0
1066MN,1,22.0
1066MP,1,11.0
1066NK,1,11.0
1066NW,1,11.0
1066PP,1,11.0
1066PT,2,33.0
1066PX,1,22.0
1066RA,1,11.0
1066SB,1,11.0
1066SJ,1,11.0
1066SK,2,22.0
1066SP,1,22.0
1066ST,1,11.0
1066SX,1,11.0
1066TA,1,11.0
1066TB,2,22.0
1066TK,1,11.0
1066WC,1,22.0
1066WE,1,22.0
1066WH,3,33.0
1066WJ,1,22.0
1066XT,1,22.0
1067AB,1,11.0
1067AE,1,11.0
1067AJ,1,22.0
1067AN,1,22.0
1067BC,1,11.0
1067BD,1,11.0
1067DC,1,11.0
1067DE,1,22.0
1067DG,1,11.0
1067DH,1,11.0
1067EE,1,22.0
1067EP,2,22.0
1067HR,1,11.0
1067JA,2,22.0
1067JP,1,22.0
1067JV,1,22.0
1067KD,1,22.0
1067KL,1,11.0
1067KW,1,22.0
1067LE,1,11.0
1067LT,1,11.0
1067LW,1,11.0
1067MX,1,11.0
1067MZ,1,22.0
1067NH,2,22.0
1067NN,1,22.0
1067NS,1,11.0
1067PD,1,11.0
1067PH,1,11.0
1067PK,1,22.0
1067PN,1,11.0
1067PX,2,22.0
1067RG,1,11.0
1067SM,1,11.0
1067SN,1,11.0
1067TP,1,11.0
1067TV,1,11.0
1067VS,1,22.0
1067VV,1,11.0
1067VX,1,11.0
1067WH,1,22.0
1067WL,1,11.0
1067XA,1,22.0
1067XX,2,33.0
1068AH,1,11.0
1068BB,1,11.0
1068BM,2,22.0
1068BS,1,11.0
1068CW,1,11.0
1068DS,1,11.0
1068ER,1,22.0
1068GL,2,22.0
1068HV,1,22.0
1068HW,1,11.0
1068HX,1,11.0
1068HZ,1,11.0
1068JH,1,11.0
1068KH,1,11.0
1068KP,1,11.0
1068KV,1,22.0
1068KZ,1,11.0
1068LJ,1,11.0
1068MB,1,11.0
1068MG,1,11.0
1068MP,2,33.0
1068MS,1,22.0
1068MV,1,22.0
1068NC,1,22.0
1068ND,1,22.0
1068NP,1,11.0
1068PC,1,11.0
1068PM,1,11.0
1068RA,1,22.0
1068RC,1,22.0
1068SH,1,11.0
1068SK,2,22.0
1068TG,1,11.0
1068VM,1,22.0
1068VT,1,11.0
1068VW,1,11.0
1068WE,1,11.0
1068WG,1,22.0
1068ER,1,11.0
1068MH,1,11.0
1069AL,1,22.0
1069BG,1,11.0
1069BJ,1,11.0
1069CD,1,11.0
1069EB,3,44.0
1069EC,1,11.0
1069ED,1,22.0
1069EN,1,22.0
1069EV,1,22.0
1069EX,1,22.0
1069GA,1,22.0
1069GH,1,11.0
1069GV,1,11.0
1069GZ,1,11.0
1069HD,1,22.0
1069HP,1,11.0
1069HT,1,22.0
1069HV,1,11.0
1069JR,1,11.0
1069KA,2,33.0
1069KG,1,11.0
1069KJ,1,22.0
1069KS,1,11.0
1069KW,1,11.0
1069LB,1,11.0
1069LH,1,11.0
1069MT,1,11.0
1069MX,1,11.0
1069NC,1,11.0
1069NG,1,11.0
1069NM,2,22.0
1069NS,1,11.0
1069PE,1,22.0
1069PK,2,33.0
1069PR,1,11.0
1069PT,1,11.0
1069RA,1,11.0
1069RG,1,22.0
1069RM,1,11.0
1069RN,2,33.0
1069RR,1,22.0
1069SE,1,11.0
1069SR,1,11.0
1069SZ,1,11.0
1069TD,2,33.0
1069TV,1,22.0
1069VM,1,22.0
1069VN,2,22.0
1069VP,1,22.0
1069VW,1,11.0
1069WP,1,11.0
1069WR,1,11.0
1069XV,1,22.0
1069ZJ,1,22.0
1069ZN,1,22.0
1069zp,1,22.0
1071AB,1,11.0
1071AE,1,11.0
1071AK,1,11.0
1071BE,1,11.0
1071BJ,1,11.0
1071BW,1,22.0
1071BX,1,11.0
1071BZ,1,11.0
1071CJ,2,33.0
1071CM,1,11.0
1071DB,1,11.0
1071DH,2,22.0
1071DP,1,11.0
1071DR,2,44.0
1071DV,2,22.0
1071EM,1,22.0
1071ER,2,22.0
1071GB,1,11.0
1071GD,1,11.0
1071GE,2,33.0
1071GJ,1,11.0
1071GK,2,33.0
1071GN,1,11.0
1071GS,1,22.0
1071GW,1,22.0
1071HE,1,11.0
1071HX,1,22.0
1071JB,2,33.0
1071JC,1,11.0
1071JG,2,22.0
1071JL,1,11.0
1071JM,1,11.0
1071JV,1,11.0
1071JW,2,22.0
1071KB,1,11.0
1071KC,1,22.0
1071KE,2,22.0
1071KG,1,11.0
1071KL,2,22.0
1071KM,1,22.0
1071KN,1,22.0
1071KP,1,11.0
1071KS,1,22.0
1071KV,2,33.0
1071LB,1,11.0
1071LE,2,33.0
1071LJ,1,11.0
1071LL,1,11.0
1071LN,1,11.0
1071LR,2,33.0
1071MB,1,11.0
1071MJ,1,11.0
1071MN,1,11.0
1071MP,1,11.0
1071MT,1,11.0
1071MX,1,22.0
1071NA,1,11.0
1071NE,1,22.0
1071NK,1,11.0
1071NP,1,22.0
1071PR,1,11.0
1071PV,1,22.0
1071PW,1,11.0
1071RA,1,11.0
1071RM,1,22.0
1071RR,1,11.0
1071RS,1,11.0
1071RV,1,11.0
1071SC,1,22.0
1071SR,1,11.0
1071SX,1,11.0
1071TH,1,11.0
1071TL,1,11.0
1071TS,2,22.0
1071TV,2,22.0
1071TZ,1,11.0
1071VC,1,11.0
1071VG,1,11.0
1071VP,1,11.0
1071VT,1,11.0
1071VW,1,11.0
1071VX,1,22.0
1071WC,1,22.0
1071WE,1,11.0
1071WL,1,22.0
1071WT,1,11.0
1071XB,1,11.0
1071XD,1,11.0
1071XG,1,11.0
1071XJ,1,11.0
1071XW,3,150.0
1071ZH,1,11.0
1071ZK,2,22.0
1071ZP,1,11.0
1071ZX,1,11.0
1071ZZ,1,11.0
1072AA,1,11.0
1072AP,1,22.0
1072AS,1,11.0
1072AT,1,22.0
1072AV,1,11.0
1072AZ,1,22.0
1072EJ,2,22.0
1072EL,1,22.0
1072EP,1,11.0
1072GS,1,22.0
1072GW,2,33.0
1072HK,1,11.0
1072HR,2,22.0
1072HS,2,22.0
1072HT,1,22.0
1072JC,2,22.0
1072JJ,2,22.0
1072JL,1,11.0
1072JZ,3,33.0
1072KA,1,11.0
1072ME,1,11.0
1072NB,1,11.0
1072NP,1,22.0
1072NT,2,33.0
1072NV,1,11.0
1072PA,2,22.0
1072PC,1,11.0
1072RT,1,22.0
1072RX,1,11.0
1072SE,1,11.0
1072SH,1,22.0
1072SJ,1,11.0
1072SR,1,11.0
1072SX,1,11.0
1072TA,1,22.0
1072TT,1,11.0
1072XC,3,44.0
1073AA,2,22.0
1073AW,1,11.0
1073CD,1,11.0
1073CG,1,11.0
1073CN,1,11.0
1073CP,1,11.0
1073CV,2,22.0
1073CW,1,11.0
1073CX,1,22.0
1073EA,1,11.0
1073EH,1,11.0
1073EJ,1,11.0
1073GC,1,11.0
1073GG,1,11.0
1073GN,1,11.0
1073GS,1,22.0
1073HD,1,11.0
1073HG,1,11.0
1073HK,1,22.0
1073HS,1,11.0
1073KB,1,11.0
1073KH,2,22.0
1073KX,1,11.0
1073RM,1,11.0
1073RR,1,22.0
1073SG,1,11.0
1073SL,1,11.0
1073SZ,1,11.0
1073TJ,1,11.0
1073TK,2,33.0
1073TN,3,33.0
1073TP,1,11.0
1073TR,1,11.0
1073TV,1,11.0
1073VP,1,11.0
1073VW,2,22.0
1073VX,1,11.0
1073XH,1,11.0
1073XL,1,22.0
1073XP,2,22.0
1073XS,2,22.0
1074AR,1,11.0
1074BA,2,22.0
1074BD,1,11.0
1074BE,3,33.0
1074BL,3,55.0
1074BM,1,11.0
1074BR,1,11.0
1074BT,1,11.0
1074CM,1,22.0
1074CN,1,22.0
1074CR,1,11.0
1074CS,1,11.0
1074CT,1,11.0
1074ED,3,44.0
1074EJ,1,11.0
1074EK,2,15.0
1074EP,1,11.0
1074ET,1,11.0
1074GA,1,22.0
1074GJ,1,22.0
1074HE,1,11.0
1074HG,1,11.0
1074HJ,1,11.0
1074HS,1,11.0
1074HW,1,11.0
1074HZ,1,11.0
1074JH,3,33.0
1074JJ,1,11.0
1074SW,1,11.0
1074TV,2,22.0
1074TZ,1,22.0
1074VB,1,11.0
1074VE,1,11.0
1074VG,1,22.0
1074VH,1,22.0
1074VM,1,11.0
1074VN,1,11.0
1074VP,1,22.0
1074VT,1,11.0
1074XG,1,22.0
1074XL,2,22.0
1074XN,1,11.0
1074XT,1,11.0
1074XX,1,22.0
1075AB,1,11.0
1075AC,2,33.0
1075AG,1,11.0
1075AN,2,33.0
1075AS,4,55.0
1075AT,1,11.0
1075BA,2,22.0
1075BB,1,11.0
1075BH,1,11.0
1075BN,1,22.0
1075BS,1,22.0
1075BT,1,11.0
1075BZ,2,22.0
1075CA,1,11.0
1075CE,1,11.0
1075CX,2,33.0
1075EA,1,11.0
1075EC,1,11.0
1075EG,1,11.0
1075EN,2,22.0
1075ET,1,11.0
1075EV,1,22.0
1075GB,1,22.0
1075GH,1,22.0
1075GJ,2,22.0
1075GM,1,22.0
1075GP,1,11.0
1075GT,1,11.0
1075GV,2,22.0
1075HC,2,22.0
1075HE,1,22.0
1075HG,2,22.0
1075HR,1,11.0
1075HS,1,11.0
1075KK,1,22.0
1075KT,1,11.0
1075KZ,1,11.0
1075LJ,1,11.0
1075MG,1,11.0
1075NC,1,11.0
1075NT,1,11.0
1075NX,2,33.0
1075NZ,1,11.0
1075PA,2,22.0
1075PD,2,22.0
1075PP,1,22.0
1075PS,1,11.0
1075PX,1,22.0
1075RD,1,11.0
1075RE,1,11.0
1075RN,1,11.0
1075RT,1,11.0
1075RW,1,22.0
1075SG,1,11.0
1075SP,1,11.0
1075ST,1,11.0
1075TA,1,11.0
1075TD,1,11.0
1075TL,2,22.0
1075TN,1,11.0
1075TR,2,22.0
1075TX,1,22.0
1075VK,2,22.0
1075VP,1,11.0
1075VS,1,11.0
1076AL,1,11.0
1076AA,1,11.0
1076AD,1,11.0
1076AH,1,11.0
1076AL,1,11.0
1076AT,1,11.0
1076BE,1,22.0
1076BR,1,11.0
1076CK,1,11.0
1076CV,1,11.0
1076CW,2,22.0
1076DA,1,11.0
1076DK,3,33.0
1076DL,1,22.0
1076DN,1,11.0
1076DS,1,11.0
1076EC,1,11.0
1076ED,2,22.0
1076JA,1,11.0
1076JB,1,22.0
1076JJ,1,11.0
1076JL,1,22.0
1076KJ,1,11.0
1076KS,1,11.0
1076KW,1,11.0
1076LB,1,22.0
1076LG,1,11.0
1076LM,1,11.0
1076LW,1,11.0
1076NC,1,11.0
1076NP,1,11.0
1076NZ,2,22.0
1076PS,1,11.0
1076RW,1,22.0
1076SP,1,11.0
1076TP,1,22.0
1076VC,1,11.0
1076VR,1,11.0
1076XA,1,22.0
1076XM,1,22.0
1076XR,1,22.0
1076XS,1,11.0
1076XV,1,11.0
1076XX,1,11.0
1077AA,1,11.0
1077AE,1,11.0
1077AR,1,11.0
1077BJ,3,33.0
1077BM,1,11.0
1077BR,2,33.0
1077BV,1,22.0
1077CB,1,11.0
1077CG,1,11.0
1077CJ,1,11.0
1077CP,1,22.0
1077DB,1,11.0
1077DE,1,11.0
1077DH,1,11.0
1077DW,1,11.0
1077EB,1,11.0
1077EC,1,11.0
1077EH,1,11.0
1077EL,2,33.0
1077EM,2,22.0
1077EP,1,11.0
1077EV,1,11.0
1077GB,1,11.0
1077GD,2,22.0
1077GG,1,22.0
1077GH,1,11.0
1077GN,2,22.0
1077GR,1,22.0
1077GS,1,11.0
1077GX,1,11.0
1077HG,1,22.0
1077JA,1,11.0
1077JB,1,11.0
1077JL,1,11.0
1077JS,1,11.0
1077JX,1,22.0
1077KA,1,22.0
1077KV,1,11.0
1077KZ,1,11.0
1077LB,1,11.0
1077LG,1,11.0
1077LH,3,33.0
1077LK,1,11.0
1077LW,2,22.0
1077LX,2,33.0
1077MG,1,22.0
1077ND,1,11.0
1077NH,1,11.0
1077PB,1,22.0
1077PD,1,11.0
1077PE,2,22.0
1077PP,1,11.0
1077PX,1,11.0
1077RC,1,11.0
1077RE,1,22.0
1077RV,2,22.0
1077SE,1,22.0
1077SL,1,11.0
1077TG,1,11.0
1077TH,1,11.0
1077TK,1,11.0
1077TZ,1,11.0
1077VD,1,11.0
1077VE,1,11.0
1077VG,2,22.0
1077VJ,2,22.0
1077VK,1,11.0
1077VL,1,11.0
1077VR,1,11.0
1077VS,1,11.0
1077VX,1,11.0
1077WE,1,11.0
1077WJ,1,11.0
1077WP,1,11.0
1077WX,1,11.0
1077XC,1,11.0
1077XR,1,11.0
1077XZ,1,50.0
1077ZD,2,33.0
1077ZE,1,11.0
1077ZG,1,22.0
1077ZL,1,11.0
1077ZN,1,22.0
1077ZP,1,22.0
1077ZS,1,11.0
1078AB,1,11.0
1078AE,1,11.0
1078AJ,1,11.0
1078AK,1,11.0
1078AS,2,22.0
1078AZ,1,11.0
1078BA,1,11.0
1078BB,1,11.0
1078BD,2,33.0
1078BG,2,22.0
1078BK,1,11.0
1078BM,1,22.0
1078BT,1,11.0
1078BZ,2,22.0
1078DL,1,11.0
1078DP,1,11.0
1078DW,1,11.0
1078EE,1,11.0
1078EJ,1,11.0
1078EN,1,11.0
1078ES,1,11.0
1078EZ,1,11.0
1078GB,1,22.0
1078GD,1,11.0
1078HG,1,11.0
1078HR,1,22.0
1078HT,2,33.0
1078HZ,1,11.0
1078JD,1,11.0
1078JR,1,11.0
1078KD,2,22.0
1078KE,1,11.0
1078KL,1,11.0
1078KN,1,11.0
1078KW,1,11.0
1078KZ,2,33.0
1078LA,2,22.0
1078LD,1,11.0
1078LG,1,11.0
1078LK,1,11.0
1078LL,1,11.0
1078LM,1,11.0
1078LN,1,11.0
1078LR,1,11.0
1078LX,1,22.0
1078MB,1,11.0
1078MJ,1,11.0
1078MK,2,22.0
1078MP,1,11.0
1078MR,2,22.0
1078MS,1,11.0
1078MX,1,22.0
1078NA,1,22.0
1078NC,2,22.0
1078NJ,1,22.0
1078NK,1,22.0
1078NM,2,33.0
1078NX,2,33.0
1078PD,2,22.0
1078PM,1,22.0
1078RJ,1,22.0
1078RK,1,11.0
1078RT,1,11.0
1078SZ,1,11.0
1078TB,1,11.0
1078TL,1,11.0
1078TS,1,11.0
1078VP,1,22.0
1078XH,1,22.0
1078XP,2,22.0
1078XR,1,11.0
1078XX,2,22.0
1079AA,1,11.0
1079AE,1,11.0
1079AN,1,11.0
1079BB,1,11.0
1079BR,1,11.0
1079BS,1,22.0
1079CE,1,22.0
1079CK,1,11.0
1079CP,2,22.0
1079DP,2,22.0
1079DR,1,11.0
1079DS,1,11.0
1079EA,1,11.0
1079ED,1,11.0
1079EK,1,11.0
1079EV,1,11.0
1079GH,1,11.0
1079GL,1,11.0
1079GV,1,11.0
1079JR,1,11.0
1079JW,2,22.0
1079KG,1,22.0
1079KM,1,11.0
1079KN,2,33.0
1079KS,1,11.0
1079KT,3,44.0
1079LE,1,11.0
1079LK,1,11.0
1079MA,1,22.0
1079MC,1,11.0
1079ND,1,11.0
1079NG,2,22.0
1079NH,1,11.0
1079NJ,1,11.0
1079NK,1,22.0
1079NL,1,11.0
1079NP,2,22.0
1079NR,1,11.0
1079NS,1,11.0
1079PA,1,11.0
1079PB,1,11.0
1079PJ,1,11.0
1079PR,2,22.0
1079RB,1,22.0
1079RK,1,11.0
1079RP,1,22.0
1079SR,1,11.0
1079TM,1,11.0
1079TN,1,22.0
1079TT,3,33.0
1079TW,1,11.0
1079TZ,2,22.0
1079VG,1,11.0
1079VK,1,11.0
1079VM,1,22.0
1079WB,1,11.0
1079WD,1,22.0
1079WE,1,11.0
1079WK,1,22.0
1079ZA,1,22.0
1079ZE,1,11.0
1079ZR,1,11.0
1079JC,1,11.0
1081AP,1,11.0
1081AR,2,33.0
1081AT,1,11.0
1081BB,1,11.0
1081BD,1,11.0
1081BP,1,22.0
1081BR,1,22.0
1081BS,1,11.0
1081BV,1,11.0
1081BX,1,11.0
1081CB,1,11.0
1081CJ,1,11.0
1081CP,1,11.0
1081ED,1,11.0
1081EN,2,33.0
1081EZ,1,11.0
1081GB,1,11.0
1081GD,1,11.0
1081GJ,2,22.0
1081GM,2,22.0
1081GP,1,11.0
1081GS,2,22.0
1081HG,1,11.0
1081JD,1,11.0
1081JK,2,33.0
1081JR,1,11.0
1081JS,1,11.0
1081JV,2,22.0
1081KC,2,22.0
1081ZS,1,11.0
1082AD,1,11.0
1082AL,1,11.0
1082AR,1,11.0
1082AV,1,11.0
1082BE,1,11.0
1082BR,1,11.0
1082CL,1,22.0
1082CM,1,11.0
1082CT,1,11.0
1082EA,1,11.0
1082EH,1,22.0
1082EK,1,22.0
1082GC,1,11.0
1082GG,1,11.0
1082GM,2,22.0
1082GR,1,22.0
1082HJ,1,11.0
1082HX,1,11.0
1082JP,1,11.0
1082KA,1,11.0
1082KM,1,11.0
1082KR,1,11.0
1082LM,1,11.0
1082LT,1,11.0
1082ME,2,22.0
1082MJ,1,11.0
1082MK,2,22.0
1082NE,1,11.0
1082NR,1,22.0
1082NV,1,11.0
1082PA,1,11.0
1082RA,1,11.0
1082RJ,1,11.0
1082RM,1,11.0
1082RS,1,11.0
1082RT,1,11.0
1082RV,1,22.0
1082SB,1,22.0
1082SE,1,11.0
1082TA,1,11.0
1082TB,1,22.0
1082TE,1,22.0
1082TM,1,22.0
1082TW,1,22.0
1082VA,1,22.0
1082VR,1,11.0
1082XW,1,11.0
1083AD,2,100.0
1083AE,1,11.0
1083AS,2,22.0
1083AW,1,11.0
1083BC,1,11.0
1083BN,1,11.0
1083BS,1,11.0
1083CC,1,22.0
1083CH,1,11.0
1083CM,1,11.0
1083CW,2,22.0
1083GA,1,11.0
1083GE,1,11.0
1083GP,1,11.0
1083HG,2,22.0
1083HJ,3,33.0
1083HL,1,11.0
1083HN,1,11.0
1083HP,1,11.0
1083IA,1,11.0
1083JJ,1,11.0
1083JK,1,22.0
1083JN,1,11.0
1083JR,2,22.0
1083KA,1,11.0
1083KB,1,11.0
1083TL,1,11.0
1086JZ,1,11.0
1086VB,3,44.0
1086VE,1,11.0
1086VG,1,11.0
1086WE,1,11.0
1086XS,1,11.0
1086XV,1,22.0
1086XW,1,11.0
1086ZA,1,11.0
1086ZG,1,11.0
1086ZJ,3,44.0
1086ZK,2,33.0
1086ZM,1,11.0
1086ZP,1,11.0
1087AW,1,11.0
1087BB,1,11.0
1087BC,1,11.0
1087BN,1,11.0
1087CG,2,22.0
1087DB,1,11.0
1087DJ,1,22.0
1087DM,1,11.0
1087DR,2,22.0
1087EB,1,11.0
1087EC,1,11.0
1087EH,2,33.0
1087EK,1,22.0
1087EM,2,33.0
1087EN,1,11.0
1087EP,1,22.0
1087GL,1,22.0
1087GN,2,44.0
1087GT,1,11.0
1087GZ,1,22.0
1087HJ,1,11.0
1087HN,2,22.0
1087HT,1,11.0
1087HW,1,11.0
1087JA,1,11.0
1087JC,1,11.0
1087JD,1,11.0
1087JT,2,33.0
1087KE,1,11.0
1087KH,1,11.0
1087KN,1,22.0
1087KR,1,11.0
1087LC,1,11.0
1087LD,2,44.0
1087LG,2,22.0
1087LL,1,22.0
1087LM,2,33.0
1087LN,1,11.0
1087MA,1,11.0
1087MG,1,22.0
1087MH,1,11.0
1087ML,1,11.0
1087MN,1,11.0
1087MR,1,11.0
1087NA,2,22.0
1087NH,1,22.0
1087GZ,1,22.0
1091AD,2,22.0
1091AE,1,22.0
1091AR,1,11.0
1091AS,1,11.0
1091AX,1,22.0
1091BB,1,11.0
1091BH,1,11.0
1091CJ,2,33.0
1091CV,1,11.0
1091CX,1,11.0
1091CZ,1,22.0
1091DA,1,22.0
1091DE,1,22.0
1091DG,1,11.0
1091DL,1,11.0
1091EA,1,11.0
1091EB,1,22.0
1091ED,2,22.0
1091EG,3,33.0
1091EH,1,11.0
1091EK,2,22.0
1091EL,1,11.0
1091ES,1,11.0
1091EX,1,11.0
1091GC,1,11.0
1091GM,1,22.0
1091GW,1,22.0
1091HR,1,11.0
1091JC,1,22.0
1091JE,1,22.0
1091JG,1,11.0
1091JH,1,11.0
1091JK,1,11.0
1091JP,1,11.0
1091JZ,2,33.0
1091KB,1,22.0
1091KJ,1,11.0
1091KP,1,22.0
1091LM,1,11.0
1091LR,1,11.0
1091NC,1,11.0
1091NN,1,11.0
1091NS,1,11.0
1091PA,1,11.0
1091PP,1,22.0
1091RE,1,11.0
1091RP,1,11.0
1091RT,1,11.0
1091RV,1,11.0
1091RZ,1,11.0
1091SB,1,22.0
1091SE,1,11.0
1091SG,1,22.0
1091SL,1,11.0
1091SZ,1,11.0
1091TC,2,33.0
1091TK,1,11.0
1091TN,1,11.0
1091TW,1,11.0
1091TX,1,22.0
1091VC,1,11.0
1091VE,1,11.0
1091VP,1,22.0
1091VV,1,11.0
1091WT,1,11.0
1091XN,1,11.0
1091XT,1,22.0
1091XV,1,11.0
1092AD,1,11.0
1092AS,1,11.0
1092BK,1,22.0
1092BN,1,11.0
1092BP,1,11.0
1092BR,1,22.0
1092BV,1,11.0
1092BW,1,11.0
1092BZ,1,11.0
1092CE,1,11.0
1092EA,1,22.0
1092EB,1,11.0
1092EE,2,22.0
1092EL,1,11.0
1092ER,3,33.0
1092EZ,1,22.0
1092GD,1,11.0
1092GE,1,11.0
1092GG,1,11.0
1092GM,1,22.0
1092GZ,1,11.0
1092HK,1,22.0
1092HM,1,11.0
1092HZ,1,11.0
1092KA,1,11.0
1092TE,2,22.0
1092TG,1,22.0
1092TJ,1,11.0
1092VC,1,11.0
1092VM,1,11.0
1092VR,1,11.0
1092XC,1,11.0
1092XH,1,11.0
1092XP,1,22.0
1092XR,1,11.0
1092XZ,1,22.0
1093AD,1,22.0
1093CA,1,11.0
1093CB,1,11.0
1093CN,2,22.0
1093CP,1,11.0
1093CX,1,11.0
1093DL,1,11.0
1093DM,1,11.0
1093ES,1,11.0
1093HG,1,11.0
1093HP,1,11.0
1093JL,2,22.0
1093JT,1,11.0
1093JV,1,11.0
1093KP,2,33.0
1093MB,2,33.0
1093SH,2,22.0
1093TE,1,22.0
1093TK,2,22.0
1093VD,1,11.0
1093VT,1,11.0
1093XC,1,11.0
1094CE,2,33.0
1094CG,1,22.0
1094CK,1,11.0
1094CT,1,11.0
1094CV,1,22.0
1094CX,1,22.0
1094EC,1,11.0
1094EG,1,11.0
1094EM,1,11.0
1094EN,2,22.0
1094ER,1,11.0
1094GB,1,22.0
1094GC,1,11.0
1094GT,1,11.0
1094JL,1,11.0
1094JP,1,22.0
1094KE,1,11.0
1094KK,2,22.0
1094KZ,1,11.0
1094LK,2,22.0
1094LM,1,22.0
1094LR,1,11.0
1094LT,1,11.0
1094NT,1,22.0
1094PW,1,22.0
1094RB,1,11.0
1094RP,1,11.0
1094SJ,1,11.0
1094TH,1,22.0
1094XN,2,22.0
1095BJ,1,11.0
1095BL,1,11.0
1095CH,2,22.0
1095CM,1,11.0
1095CS,1,11.0
1095DJ,1,11.0
1095DN,1,11.0
1095DX,1,22.0
1095EG,1,11.0
1095ES,1,22.0
1095ET,1,22.0
1095EZ,1,11.0
1095GZ,1,11.0
1095HK,1,11.0
1095JK,2,22.0
1095JM,2,33.0
1095KC,1,11.0
1095KD,1,11.0
1095KW,1,11.0
1095LH,1,11.0
1095MB,1,11.0
1095MD,6,88.0
1095ME,1,11.0
1095MM,1,22.0
1095SC,1,22.0
1095TA,1,11.0
1095TG,1,11.0
1095TP,1,11.0
1095VD,1,22.0
1095VJ,1,11.0
1095WE,1,22.0
1095XE,1,22.0
1095XP,1,11.0
1096AA,1,11.0
1096AH,1,11.0
1096AN,1,11.0
1096BH,3,33.0
1096BK,2,22.0
1096BL,1,11.0
1096CJ,2,22.0
1096CN,1,11.0
1096CR,1,11.0
1096DH,1,11.0
1096DV,1,11.0
1096GA,2,22.0
1096GG,3,33.0
1096GJ,2,22.0
1096HZ,3,44.0
1096ZR,1,11.0
1097AJ,1,11.0
1097AL,1,11.0
1097AP,1,22.0
1097AR,1,11.0
1097BA,1,22.0
1097BB,1,11.0
1097BC,1,11.0
1097BD,1,11.0
1097CC,1,11.0
1097CJ,1,11.0
1097CR,2,33.0
1097CS,1,22.0
1097CT,2,22.0
1097DH,1,11.0
1097DK,1,11.0
1097DM,2,33.0
1097DS,1,22.0
1097DX,1,50.0
1097ER,1,11.0
1097ET,1,11.0
1097EV,2,44.0
1097GH,2,22.0
1097GR,1,22.0
1097HG,1,11.0
1097HK,2,22.0
1097HL,2,22.0
1097HN,2,33.0
1097HW,1,11.0
1097HX,1,11.0
1097JD,1,11.0
1097KA,1,11.0
1097LX,1,11.0
1097MG,1,11.0
1097NK,1,11.0
1097NV,1,22.0
1097NZ,1,22.0
1097PB,1,11.0
1097PD,1,22.0
1097PP,1,11.0
1097RH,1,11.0
1097RM,1,11.0
1097RP,1,11.0
1097SM,1,11.0
1097SR,1,11.0
1097TB,1,22.0
1097TH,1,11.0
1097TV,1,11.0
1097TZ,1,11.0
1097VD,1,11.0
1097VH,1,11.0
1097WL,1,11.0
1097XA,1,22.0
1097XD,1,22.0
1097ZC,1,22.0
1097ZR,1,22.0
1098AS,1,11.0
1098BA,1,11.0
1098BE,3,33.0
1098BG,1,11.0
1098BK,1,11.0
1098BS,1,22.0
1098BV,1,22.0
1098CD,1,11.0
1098CH,1,11.0
1098CJ,1,11.0
1098CW,2,22.0
1098EJ,1,11.0
1098EL,1,11.0
1098ER,1,22.0
1098ES,1,11.0
1098GE,1,11.0
1098GJ,1,11.0
1098HC,1,11.0
1098HE,2,33.0
1098JA,1,11.0
1098JC,1,22.0
1098JG,1,11.0
1098JJ,1,11.0
1098JL,1,11.0
1098JM,1,11.0
1098JT,1,11.0
1098KC,2,22.0
1098KE,1,11.0
1098KM,1,11.0
1098KN,1,11.0
