PC6,number_of_charger,total_capacity
1018DD,1,11.0
1018DJ,1,11.0
1018DR,1,11.0
1018DT,1,22.0
1018EE,1,11.0
1018EG,1,11.0
1018ET,1,11.0
1018GB,2,22.0
1018GJ,1,11.0
1018GV,1,11.0
1018GX,2,22.0
1018HJ,1,11.0
1018HL,1,22.0
1018JE,1,11.0
1018JG,1,22.0
1018JR,1,11.0
1018KN,1,11.0
1018KP,1,22.0
1018LJ,1,11.0
1018LT,3,44.0
1018LZ,1,11.0
1018MR,1,11.0
1018MS,1,11.0
1018MT,1,22.0
1018MZ,3,44.0
1018NC,1,11.0
1018NK,1,11.0
1018NW,1,11.0
1018PE,1,11.0
1018RB,1,11.0
1018RK,2,22.0
1018RW,1,11.0
1018SK,1,11.0
1018SL,1,22.0
1018SR,1,11.0
1018SV,1,22.0
1018TJ,1,22.0
1018TS,1,22.0
1018TV,4,44.0
1018TZ,1,22.0
1018VA,1,11.0
1018VE,1,11.0
1018VH,1,22.0
1018VJ,1,22.0
1018VM,1,11.0
1018VS,1,11.0
1018WC,2,22.0
1018WG,2,22.0
1018XK,2,22.0
1018XW,1,11.0
1018ZD,2,22.0
1018ZL,1,11.0
1018ZN,1,22.0
1018ZS,1,11.0
1018ZZ,1,11.0
1019AA,1,11.0
1019AD,1,11.0
1019AH,2,22.0
1019AX,1,11.0
1019BX,1,11.0
1019CV,1,11.0
1019DA,1,11.0
1019DD,1,11.0
1019DG,1,11.0
1019DP,2,33.0
1019ED,3,44.0
1019EH,1,11.0
1019GD,1,11.0
1019HA,1,11.0
1019JZ,1,22.0
1019KN,1,11.0
1019KR,1,11.0
1019LB,1,22.0
1019LL,3,33.0
1019LS,2,33.0
1019MD,1,22.0
1019ME,1,11.0
1019PK,1,11.0
1019PM,1,11.0
1019PV,1,11.0
1019RC,1,11.0
1019RD,1,11.0
1019RR,2,44.0
1019RV,1,11.0
1019SC,1,11.0
1019SE,1,11.0
1019SG,1,22.0
1019TB,1,11.0
1019TD,2,33.0
1019TH,1,11.0
1019TK,2,22.0
1019TR,1,22.0
1019VC,1,11.0
1019VK,1,22.0
1019WG,2,22.0
1019WV,1,22.0
1019WX,1,11.0
1019XD,1,22.0
1019XE,1,11.0
1019XG,2,22.0
1019XH,1,11.0
1021BS,1,22.0
1021CE,1,11.0
1021EB,1,11.0
1021EG,1,11.0
1021EK,1,11.0
1021EN,1,11.0
1021HC,1,22.0
1021JM,1,11.0
1021JR,1,11.0
1021JV,2,22.0
1021KN,1,11.0
1021LD,1,11.0
1021LL,1,11.0
1021NW,1,11.0
1021PS,2,22.0
1021TR,1,22.0
1021TT,1,11.0
1022AB,1,11.0
1022AC,1,11.0
1022AM,2,22.0
1022BA,1,11.0
1022BK,1,11.0
1022KB,1,11.0
1022KD,1,11.0
1022KE,1,11.0
1022KJ,1,22.0
1022KK,1,11.0
1022LA,5,55.0
1022WV,2,22.0
1023AK,1,11.0
1023AS,1,11.0
1023BA,1,11.0
1023BB,1,11.0
1023BC,1,11.0
1023BE,1,22.0
1023BM,1,11.0
1023BS,1,11.0
1023BX,1,11.0
1023EA,3,55.0
1023NA,1,11.0
1023NE,1,11.0
1023NT,1,11.0
1023PA,1,11.0
1023XG,1,11.0
1023XR,1,11.0
1024BA,1,22.0
1024BV,2,33.0
1024BX,1,11.0
1024CR,1,11.0
1024CX,1,22.0
1024DC,1,11.0
1024EJ,1,11.0
1024EK,1,22.0
1024EP,1,22.0
1024GT,1,22.0
1024HA,1,22.0
1024HM,1,11.0
1024KH,1,11.0
1024KK,1,22.0
1024KM,1,22.0
1024LA,1,22.0
1024LH,1,11.0
1024LW,1,22.0
1024MD,3,44.0
1024MH,1,22.0
1024MJ,1,22.0
1024ML,1,11.0
1024NG,1,11.0
1024NL,1,11.0
1024NR,1,22.0
1024PJ,1,11.0
1024PL,1,22.0
1024SG,1,22.0
1024TK,1,11.0
1024VR,1,11.0
1024VV,2,22.0
1024VX,1,22.0
1024XR,1,22.0
1025AE,1,11.0
1025AJ,1,22.0
1025BE,1,22.0
1025BK,1,11.0
1025CL,1,11.0
1025CX,1,11.0
1025DC,1,11.0
1025DS,1,22.0
1025DT,1,11.0
1025EE,1,11.0
1025GC,1,11.0
1025HD,1,11.0
1025HS,1,11.0
1025JG,1,11.0
1025JV,1,22.0
1025KG,1,11.0
1025KN,1,11.0
1025KV,1,22.0
1025MR,2,22.0
1025NK,1,22.0
1025PC,1,11.0
1025PD,1,22.0
1025PK,1,11.0
1025RW,1,22.0
1025VN,1,11.0
1025VR,2,22.0
1025WD,1,11.0
1025WH,1,11.0
1025WK,1,22.0
1025WS,1,11.0
1025WZ,2,22.0
1025XG,1,11.0
1025XW,2,33.0
1025ZC,1,11.0
1025ZR,1,11.0
1025JL,1,11.0
1027AM,1,22.0
1027ED,1,11.0
1028BK,2,33.0
1031BP,1,11.0
1031BX,1,11.0
1031CJ,1,22.0
1031EM,1,11.0
1031GD,1,11.0
1031GG,1,11.0
1031GH,1,22.0
1031HE,1,22.0
1031HH,2,22.0
1031KA,1,11.0
1031KB,1,22.0
1031VD,1,11.0
1031XR,1,22.0
1031XT,1,11.0
1032AB,1,11.0
1032AM,1,11.0
1032BA,1,11.0
1032BV,1,11.0
1032BW,1,11.0
1032EB,1,11.0
1032GH,1,11.0
1032GW,1,22.0
1032GX,1,22.0
1032HE,1,11.0
1032HK,1,11.0
1032JB,1,11.0
1032JT,1,22.0
1032JX,1,11.0
1032KJ,1,11.0
1032KW,1,11.0
1032LH,2,22.0
1032VS,1,11.0
1032VW,1,11.0
1032ZC,1,22.0
1033AA,1,11.0
1033AE,1,11.0
1033BJ,1,11.0
1033BW,1,22.0
1033BX,1,22.0
1033CC,1,22.0
1033DC,1,11.0
1033DK,1,22.0
1033DR,1,11.0
1033DV,1,22.0
1033DX,1,11.0
1033EK,1,11.0
1033GE,1,22.0
1033GG,1,11.0
1033GZ,1,11.0
1033HA,1,22.0
1033HK,1,11.0
1033HL,1,22.0
1033JJ,1,22.0
1033JP,1,11.0
1033KM,1,11.0
1033KS,1,11.0
1033MD,1,11.0
1033MV,1,11.0
1033PB,1,11.0
1033PH,1,22.0
1033PJ,1,11.0
1033PV,1,22.0
1033PW,1,22.0
1033RB,1,11.0
1033RC,2,22.0
1033RD,1,11.0
1033RK,1,22.0
1033RM,1,11.0
1033RR,1,11.0
1033SC,1,22.0
1033SM,1,11.0
1033SN,1,11.0
1033SP,1,11.0
1033ST,2,22.0
1033SX,2,22.0
1033VA,1,11.0
1033VJ,1,11.0
1033WG,1,11.0
1033WP,1,11.0
1033XE,1,22.0
1033XN,1,11.0
1033ZA,1,22.0
1033ZK,1,11.0
1033ZT,1,11.0
1034AA,1,11.0
1034BE,1,22.0
1034CA,1,11.0
1034DD,1,22.0
1034DK,1,22.0
1034DM,1,11.0
1034DR,1,11.0
1034DT,2,22.0
1034EZ,2,22.0
1034GA,1,11.0
1034GV,1,11.0
1034HD,2,22.0
1034HJ,1,22.0
1034JK,1,22.0
1034JN,1,11.0
1034KX,1,11.0
1034LK,1,11.0
1034MA,1,22.0
1034ML,1,11.0
1034NB,1,11.0
1034NL,1,11.0
1034PP,1,22.0
1034PT,1,11.0
1034RA,1,11.0
1034RV,1,11.0
