,PC6,bus_count,metro_count,tram_count,number_of_charger,total_capacity,parking_count,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area,December 2022_EV,December 2022_hybrid,2022_0_to_10,2022_10_to_20,2022_20_to_30,2022_20_to_30,2022_40_to_50,2019.0_household,2019.0_income_1_to_40_percent,2019.0_income_41_to_80_percent,2019.0_income_81_to_100_percent,2019.0_income_average,2019.0_assets_1_to_40_percent,2019.0_assets_41_to_80_percent,2019.0_assets_81_to_100_percent,2019.0_assets_average,2019.0_Gemiddelde SES WOA totaalscore
0,1011AB,0.0,0.0,0.0,2.0,22.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
1,1011AC,0.0,0.0,1.0,1.0,11.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
2,1011AG,0.0,0.0,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
3,1011AH,0.0,0.0,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
4,1011AJ,0.0,0.0,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
5,1011AM,0.0,0.0,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
6,1011AN,0.0,0.0,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
7,1011AP,0.0,0.0,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
8,1011AR,0.0,0.0,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
9,1011AS,0.0,0.0,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
10,1011AT,0.0,0.0,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,2065.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
